Phrase_ID,en,es,pt,fr,it,ko,,
overview,Overview,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
label,Label,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
comment,Comment,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
type_of_term,Type of Term,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
domain,Domain,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
range,Range,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
member,Member Of,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
equivalent,Equivalent Property,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
back_to_overview,Back to Overview,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
section3,Section 3: Classes,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
term_class,Class Name,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
